City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nar'yan-mar,67.6713,53.087,16.11,86,100,13.0,RU,1698608388
1,malango,-2.9627,119.9001,64.85,91,100,2.21,ID,1698608389
2,turiacu,-1.6633,-45.3717,86.0,54,87,8.1,BR,1698608389
3,olonkinbyen,70.9221,-8.7187,32.54,70,100,2.98,SJ,1698608389
4,adamstown,-25.066,-130.1015,72.1,84,99,15.46,PN,1698608142
5,vilyuchinsk,52.9306,158.4028,38.93,78,90,2.1,RU,1698608390
6,port-aux-francais,-49.35,70.2167,35.2,83,100,26.53,TF,1698608390
7,pledran,48.45,-2.75,51.48,83,2,8.05,FR,1698608391
8,college,64.8569,-147.8028,30.79,78,75,4.61,US,1698608391
9,dunedin,-45.8742,170.5036,50.72,74,84,1.14,NZ,1698608269
10,avarua,-21.2078,-159.775,75.25,64,14,14.97,CK,1698608392
11,xinyuan,37.3,99.0,26.71,47,16,4.92,CN,1698608392
12,iqaluit,63.7506,-68.5145,19.13,63,75,11.5,CA,1698608393
13,waitangi,-43.9535,-176.5597,51.82,83,4,1.01,NZ,1698608393
14,pimentel,-6.8367,-79.9342,79.09,57,0,21.85,PE,1698608393
15,remire-montjoly,4.9167,-52.2667,89.64,58,0,12.66,GF,1698608394
16,veraval,20.9,70.3667,81.19,61,98,5.01,IN,1698608394
17,dogubayazit,39.5469,44.0842,54.66,57,94,1.83,TR,1698608394
18,longyearbyen,78.2186,15.6401,22.84,93,75,6.91,SJ,1698608395
19,anadyr,64.75,177.4833,28.9,100,75,15.66,RU,1698608395
20,bredasdorp,-34.5322,20.0403,56.26,61,0,20.56,ZA,1698608396
21,kodigenahalli,13.72,77.3903,71.67,82,82,4.45,IN,1698608396
22,lihue,21.9789,-159.3672,81.64,76,75,4.61,US,1698608396
23,grytviken,-54.2811,-36.5092,41.67,95,100,7.18,GS,1698608397
24,georgetown,5.4112,100.3354,77.02,94,20,5.01,MY,1698608246
25,muroto-misakicho,33.2833,134.15,62.2,58,0,5.99,JP,1698608397
26,isafjordur,66.0755,-23.124,34.02,80,36,3.4,IS,1698608398
27,vorkuta,67.5,64.0,0.59,98,24,4.92,RU,1698608398
28,udachny,66.4167,112.4,-1.55,76,79,3.49,RU,1698608399
29,port-gentil,-0.7193,8.7815,82.36,83,75,10.36,GA,1698608399
30,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,75,6.71,RU,1698608399
31,belyy yar,53.6039,91.3903,17.49,79,0,0.0,RU,1698608400
32,magadan,59.5667,150.8,26.11,75,26,4.18,RU,1698608401
33,tamandare,-8.7597,-35.1047,77.88,69,100,9.69,BR,1698608401
34,invercargill,-46.4,168.35,47.01,95,13,3.0,NZ,1698608402
35,gisborne,-38.6533,178.0042,54.39,92,100,16.67,NZ,1698608402
36,namtsy,62.7161,129.6658,8.44,95,100,4.32,RU,1698608403
37,pontianak,-0.0333,109.3333,76.98,94,75,6.91,ID,1698608403
38,thinadhoo,0.5333,72.9333,81.52,77,100,15.95,MV,1698608404
39,ust'-barguzin,53.45,108.9833,23.25,83,85,4.74,RU,1698608404
40,molde,62.7375,7.1591,33.64,80,0,8.05,NO,1698608405
41,florencia,43.7667,11.25,68.54,78,40,5.99,IT,1698608405
42,masterton,-40.9597,175.6575,54.88,72,98,9.93,NZ,1698608406
